"id","mediaUrl","data","image"
a01,https://files.mnw.art.pl/audioprzewodniki/Autoportrety/PL/16%20mn%20pawel%20althamer%20mix%20popr.mp3,"<strong>Paweł Althamer, <em>Autoportret</em></strong>,<br>2022, Muzeum Narodowe w Warszawie","https://www.mnw.art.pl/gfx/muzeumnarodowe/_thumbs/pl/defaultstronaopisowa/1648/15/1/pawel_althamer_autoportret,mXR5oa6vrGuYqcOKaaQ.jpg"
a02,https://files.mnw.art.pl/audioprzewodniki/Autoportrety/PL/15%20mn%20miroslaw%20balka%20mix%20popr.mp3,"<strong>Mirosław Bałka, <em>190 x 60 x 33 / MB / MNW</em></strong>,<br>2022, Muzeum Narodowe w Warszawie","https://www.mnw.art.pl/gfx/muzeumnarodowe/_thumbs/pl/defaultstronaopisowa/1648/14/1/balka,mXh55WesrVTak8TcmebVqolplZaUdXikb6SnZK5rs4prpA.jpeg"
a03,"https://files.mnw.art.pl/audioprzewodniki/Autoportrety/PL/02%20mn%20agnieszka%20brzezanska%20mix.mp3","<strong>Agnieszka Brzeżańska, <em>bez tytułu (Autoportret)</em></strong>,<br>2022, Muzeum Narodowe w Warszawie","https://www.mnw.art.pl/gfx/muzeumnarodowe/_thumbs/pl/defaultstronaopisowa/1648/2/1/agnieszka_brzezanska_bez_tytulu_autoportret,mXh55WesrVTapMXWXKSs.jpg"
a04,"https://files.mnw.art.pl/audioprzewodniki/Autoportrety/PL/17%20mn%20rafal%20bujanowski.mp3","<strong>Rafał Bujnowski, <em>Autoportret</em></strong>,<br>2019, Muzeum Narodowe w Warszawie","https://www.mnw.art.pl/gfx/muzeumnarodowe/_thumbs/pl/defaultstronaopisowa/1648/16/1/rafal_bujnowski_autoportret,mXh55WesrVTapMXWXKSs.jpg"
a05,"https://files.mnw.art.pl/audioprzewodniki/Autoportrety/PL/06%20mn%20barbara%20falender.mp3","<strong>Barbara Falender, <em>Autoportret</em></strong>,<br>2016, Muzeum Narodowe w Warszawie","https://www.mnw.art.pl/gfx/muzeumnarodowe/_thumbs/pl/defaultstronaopisowa/1648/5/1/barbara_falender_autoportret,mXh55WesrVTapMXWXKSs.jpg"
a06,"https://files.mnw.art.pl/audioprzewodniki/Autoportrety/PL/07%20mn%20izabella%20gustowska.mp3","<strong>Izabela Gustowska, <em>Ja Artystka</em></strong>,<br>2022, Muzeum Narodowe w Warszawie","https://www.mnw.art.pl/gfx/muzeumnarodowe/_thumbs/pl/defaultstronaopisowa/1648/6/1/izabella_gustowska_ja_artystka,mXh55WesrVTak8TcmebVq4RemZKben-gYqusa6qPeplo.jpg"
a07,"https://files.mnw.art.pl/audioprzewodniki/Autoportrety/PL/01%20mn%20zuzanna%20janin%20mix.mp3","<strong>Zuzanna Janin, <em>Autoportret. Magnolia Susan</em></strong>,<br>2023, Muzeum Narodowe w Warszawie","https://www.mnw.art.pl/gfx/muzeumnarodowe/_thumbs/pl/defaultstronaopisowa/1648/1/1/zuzanna_janin_autoportret_klasyczny,mXh55WesrVTapMXWXKSs.jpg"
a08,"https://files.mnw.art.pl/audioprzewodniki/Autoportrety/PL/14%20mn%20lukasz%20korolkiewicz.mp3","<strong>Łukasz Korolkiewicz, <em>Kuglarz</em></strong>,<br>2021, Muzeum Narodowe w Warszawie","https://www.mnw.art.pl/gfx/muzeumnarodowe/_thumbs/pl/defaultstronaopisowa/1648/13/1/lukasz_korolkiewicz_kuglarz,mXh55WesrVTak8TcmebVon9jop6gcHqmZ6-iZrBjjcNcpqw.jpg"
a09,"https://files.mnw.art.pl/audioprzewodniki/Autoportrety/PL/12%20mn%20katarzyna%20krakowiak-balka%20mix%20popr2.mp3","<strong>Katarzyna Krakowiak-Bałka, <em>Czysto</em></strong>,<br>2023, Muzeum Narodowe w Warszawie",""
a10,"https://files.mnw.art.pl/audioprzewodniki/Autoportrety/PL/20%20mn%20zbigniew%20libera%20mix.mp3","<strong>Zbigniew Libera, <em>Mamusia (autoportret)</em></strong>,<br>2021, Muzeum Narodowe w Warszawie","https://www.mnw.art.pl/gfx/muzeumnarodowe/_thumbs/pl/defaultstronaopisowa/1648/19/1/zbigniew_libera_mamusia_autoportret,mXh55WesrVTak8TcmebVon9jnZ-fcHuiZqqiZ6xiiMNcpqw.jpg"
